Age [yr BP],d18O [per mil]
10014.2,-34.59
10038,-35.45
10061.5,-35.61
10084.5,-35.57
10109.4,-34.65
10134.8,-35.05
10161.1,-35.4
10187.5,-35.46
10214.1,-35.16
10238.1,-35.33
10262.1,-35.14
10285.8,-35.87
10312.2,-36.26
10339.5,-35.83
10363.6,-35.83
10390,-35.87
10414.8,-35.35
10443.3,-35.38
10471,-36
10499,-35.69
10527,-35.51
10555,-36.05
10582,-35.65
10610,-35.49
10640,-36.52
10668,-35.61
10696,-36.59
10724,-35.5
10754,-35.99
10781,-35.99
10809,-36.13
10839,-36.24
10868,-36.92
10899,-36.82
10927,-36.52
10957,-36.04
10987,-36.53
11019,-36.4
11049,-36.67
11082,-36.56
11111,-36.81
11142,-36.76
11175,-35.82
11205,-36.42
11236,-37.11
11269,-36.52
11301,-37.09
11333,-38.25
11370,-38.05
11408,-37.05
11441,-37.39
11474,-36.77
11504,-36.57
11538,-36.46
11573,-36.54
11609,-38.72
11652,-40.29
11717,-40.01
11785,-40.48
11851,-40.45
11921,-40.7
11991,-39.57
12066,-40.14
12136,-40.71
12208,-40.3
12284,-40.36
12363,-40.14
12437,-41.34
12512,-40.84
12590,-41.66
12667,-40.85
12741,-40.58
12816,-40.45
12882,-38.76
12935,-38.24
12976,-38.44
13017,-38.63
13064,-39.27
13107,-40.98
13167,-39.69
13224,-39.15
13278,-38.46
13328,-38.46
13378,-37.2
13422,-38
13466,-37.81
13509,-37.19
13550,-37.61
13587,-38.18
13634,-38.36
13682,-38.07
13724,-37.8
13764,-37.91
13803,-37.53
13844,-38.13
13886,-38.19
13931,-37.67
13972,-38.35
14013,-39.15
14072,-38.54
14114,-37.56
14149,-37.98
14187,-37.38
14223,-36.87
14261,-36.67
14296,-36.04
14331,-36.11
14363,-36.65
14398,-36.18
14432,-35.56
14462,-35.3
14494,-35.23
14527,-35.4
14558,-36
14591,-36.66
14631,-37.63
14673,-39.87
14750,-38.97
14822,-39.97
14894,-40.18
14963,-39.71
15036,-38.82
15104,-38.68
15176,-39.29
15254,-39.43
15337,-39.39
15422,-39.33
15497,-39.55
15580,-40.6
15662,-40.5
15746,-40.63
15829,-41.13
15908,-41.24
15995,-40
16077,-40.2
16161,-40.16
16236,-40.34
16310,-40.13
16391,-40.12
16472,-41.25
16553,-40.63
16624,-40.68
16702,-40.38
16775,-39.57
16847,-40.01
16922,-40.81
17004,-40.92
17089,-40.76
17173,-40.19
17246,-39.97
17336,-39.91
17420,-40.53
17510,-39.86
17600,-40.22
17692,-40.36
17783,-40.34
17882,-39.34
17981,-39.3
18078,-40.46
18178,-39.39
18279,-39.94
18370,-39.72
18476,-39.39
18572,-39.81
18677,-39.28
18781,-39.33
18889,-39.26
18995,-39.33
19088,-39.02
19172,-38.71
19255,-39.29
19344,-39.92
19428,-39.62
19522,-39.01
19620,-40.15
19723,-39.15
19820,-40.11
19916,-39.51
20013,-39.63
20106,-39.98
20195,-40.45
20293,-40.56
20387,-39.15
20488,-39.49
20583,-38.94
20683,-40.05
20792,-39.71
20888,-40.81
20998,-40.56
21099,-40.53
21201,-41.24
21307,-41.38
21411,-40.96
21518,-40.87
21633,-41.25
21755,-40.71
21878,-40.76
21997.5,-40.96
22100.5,-40.53
22213.5,-39.8
22321.5,-40.94
22443,-40.26
22557,-40.72
22669,-40.74
22777,-40.69
22888,-39.16
22990,-40.36
23095,-40.62
23209,-40.48
23303,-38.31
23406,-40.08
23528,-41.58
23656,-41.91
23776,-41.93
